CAMIS,MostRecentInspDate
40544528,2023-05-03
40544529,2024-04-18
40544576,2024-01-03
40544813,2024-05-15
40544823,2025-05-13
40544948,2025-04-10
40544958,2024-04-23
40545227,2024-03-28
40545375,2024-04-03
40545543,2024-03-20
40545555,2024-01-29
40545573,2023-11-01
40545741,2025-07-29
40545786,2023-10-18
40546082,2024-10-30
40546098,2024-06-11
40546234,2024-04-09
40546306,2024-12-11
40546650,2025-04-30
40547085,2025-04-03
40547434,2025-03-25
40547874,2024-12-18
40547933,2025-06-17
40548426,2025-01-31
40548730,2025-06-05
40548768,2025-05-16
40549443,2024-03-02
40549610,2025-07-28
40549885,2025-02-05
40549913,2025-06-05
40550150,2024-12-03
40550155,2025-07-17
40550548,2024-06-11
40550765,2025-08-19
40551093,2025-06-03
40551234,2024-05-22
40551807,2025-03-24
40551900,2024-05-08
40552366,2024-08-20
40553257,2024-06-11
40553657,2024-12-03
40554018,2024-06-04
40554183,2025-04-08
40554360,2023-03-06
40554463,2025-06-09
40556572,2024-12-03
40557466,2024-07-10
40557901,2025-01-24
40557912,2025-01-28
40558850,2025-07-30
40559439,2019-02-23
40559606,2025-07-15
40559634,2024-04-16
40559636,2025-07-24
40559892,2024-07-08
40560112,2025-08-21
40560302,2025-05-12
40560440,2025-01-27
40560823,2025-06-12
40560927,2023-05-10
40560931,2024-05-07
40560935,2024-05-08
40560941,2018-12-26
40560945,2024-12-17
40560949,2024-06-01
40560953,2023-11-08
40561290,2019-06-21
40561340,2022-11-10
40562839,2024-03-06
40563041,2024-04-16
40563475,2024-06-26
40564625,2025-02-11
40564701,2024-09-26
40564858,2024-04-16
40565141,2024-09-18
40566335,2024-05-28
40566431,2024-05-08
40566617,2025-08-20
40566621,2025-07-02
40566706,2025-06-02
40567158,2024-08-06
40567189,2024-03-08
40567856,2025-07-29
40568591,2024-11-07
40569633,2023-02-14
40569838,2025-06-17
40570278,2024-10-21
40570634,2025-08-25
40570775,2024-07-08
40570910,2023-11-28
40571081,2024-09-24
40571082,2023-11-29
40571128,2025-08-21
40571528,2025-03-03
40572049,2020-01-16
40572098,2024-06-26
40572406,2024-11-25
40572494,2024-05-02
40572951,2024-10-30
40572960,2025-08-20
40573101,2024-07-15
40573138,2025-05-19
40573309,2024-03-27
40573338,2025-06-03
40573412,2024-11-21
40573507,2024-08-28
40573715,2023-11-29
40574150,2024-08-20
40574293,2024-08-22
40574423,2025-06-20
40574474,2024-08-22
40574680,2025-08-01
40574733,2025-08-12
40574871,2024-05-03
40574872,2024-09-10
40575487,2024-08-21
40575863,2024-10-09
40576002,2024-12-30
40576044,2024-03-07
40576056,2022-01-25
40576150,2025-04-28
40576196,2023-12-18
40576251,2024-08-27
40576260,2025-05-07
40576403,2024-03-27
40576812,2024-12-06
40577007,2022-04-26
40577204,2024-03-20
40577362,2024-06-12
40577535,2025-07-09
40578092,2023-04-24
40578252,2024-07-17
40578388,2025-05-21
40578433,2024-04-04
40578773,2024-04-10
40579607,2023-11-01
40579797,2024-11-26
40580683,2025-08-06
40581363,2024-09-09
40581382,2024-03-19
40581387,2025-08-11
40581692,2024-04-11
40581729,2023-10-12
40582271,2024-08-27
40582335,2024-03-06
40584158,2024-04-02
40584579,2025-01-14
40585102,2025-02-05
40585860,2025-08-18
40586000,2024-12-24
40586094,2025-07-16
40586239,2024-07-17
40586834,2025-08-11
40587273,2025-02-27
40587698,2025-05-23
40587714,2024-07-17
40587835,2024-05-23
40587915,2024-08-22
40588072,2024-09-17
40589507,2025-02-10
40591269,2024-07-09
40591271,2024-12-30
40591607,2024-07-22
40592117,2025-02-25
40592181,2024-04-19
40592285,2024-05-15
40592791,2025-06-03
40592811,2024-02-15
40592981,2025-05-22
40593352,2025-05-28
40593817,2024-04-17
40593844,2024-04-30
40593848,2024-07-08
40594203,2025-07-23
40594214,2025-08-07
40594677,2023-12-18
40594824,2025-03-31
40596246,2025-02-18
40596349,2025-06-12
40596359,2023-08-11
40596549,2024-02-29
40597074,2025-05-01
40597409,2025-03-27
40597618,2024-11-22
40597923,2025-06-16
40599004,2024-09-24
